SPKID,name,a,e,i,q,T$_J$,H,P$_{Rot}$,albedo,r$_n$,PJFC,A$_1$,Error,$\sigma$,A$_2$,Error,$\sigma$,A$_3$,Error,$\sigma$,
,,[au],,[deg],[au],,[Mag],[hr],,[m],[\%],[au d$^{-2}$],[au d$^{-2}$],,[au d$^{-2}$],[au d$^{-2}$],,[au d$^{-2}$],[au d$^{-2}$],,
139359,2001 ME$_{1}$,2.649751816,0.8659672759,5.795476642,0.3551534543,2.673821936,16.53,,0.018,5000 $\pm$ 2000,11.5,-2.47E-13,1.37E-10,0.00,-2.54E-13,2.27E-14,-11.18,2.82E-12,1.78E-12,1.58,
452639,2005 UY$_{6}$,2.257242683,0.8699178463,12.15301631,0.2936269897,2.940302002,18.14,,,,0,-2.92E-10,4.28E-10,-0.68,-6.35E-13,1.59E-13,-4.00,-4.86E-12,6.89E-12,-0.71,
152667,1998 FR$_{11}$,2.812824702,0.706128983,6.660490985,0.8266076557,2.884066281,16.42,,0.02,5000 $\pm$ 2000,2.6,-1.83E-10,2.96E-10,-0.62,2.94E-13,9.56E-14,3.08,8.38E-12,8.62E-12,0.97,
3614980,2012 UR$_{158}$,2.238634998,0.8553668224,3.220388997,0.3237808931,3.002834159,20.7,,,629,0,8.18E-11,6.66E-10,0.12,-7.59E-12,4.72E-13,-16.07,7.15E-12,3.74E-12,1.91,
523599,2003 RM,2.921129643,0.6010251548,10.85368049,1.165457247,2.957524332,19.8,,0.023,,3.9,-3.96E-11,1.10E-10,-0.36,2.10E-12,2.80E-14,75.03,5.33E-13,4.10E-12,0.13,
3297629,2005 VL$_{1}$,0.891643653,0.2253857215,0.2472171506,0.6906799049,6.64229883,26.45,,,,0,-8.30E-10,7.59E-10,-1.09,-8.32E-13,5.61E-13,-1.48,-2.41E-11,3.95E-12,-6.12,
3545552,2010 RF$_{12}$,1.060512028,0.1883003167,0.8826219228,0.8608172773,5.793118653,28.42,,,,0,3.40E-11,5.82E-11,0.58,-2.12E-13,2.12E-13,-1.00,-1.51E-11,1.42E-12,-10.65,
3012392,1998 KY$_{26}$,1.231985993,0.2014494748,1.481172413,0.9838030619,5.176462031,25.6,0.178,,30,0,1.60E-10,8.77E-11,1.83,-1.38E-13,5.67E-14,-2.43,2.70E-11,6.45E-12,4.19,
3755347,2016 NJ$_{33}$,1.31,0.21,6.64,1.038296453,4.946588996,25.49,$0.41$-$1.99$,,,0,9.48E-10,2.93E-10,3.24,-5.49E-13,1.91E-13,-2.87,8.49E-11,1.63E-11,5.21,
3550888,2010 VL$_{65}$,1.07,0.14,4.41,0.9118278034,5.758308007,29.22,,,,0,6.59E-10,1.30E-09,0.51,1.45E-13,5.34E-13,0.27,-9.12E-11,1.30E-11,-7.02,
3625704,2013 BA$_{74}$,1.75442078,0.44479228,5.302221583,0.9760431668,4.00153185,25.4,,,,0,2.47E-10,1.84E-09,0.13,3.66E-13,4.57E-13,0.80,1.92E-11,5.30E-12,3.61,
3403148,2006 RH$_{120}$,0.9977199096,0.03744067175,0.3093522062,0.960364606,6.09040187,29.5,0.046,,,0,1.38E-10,7.79E-12,17.73,-5.07E-11,6.37E-12,-7.96,-1.30E-11,3.32E-12,-3.92,
3752012,2016 GW$_{221}$,0.82758958,0.2683367081,3.652594768,0.60639368,7.054176918,24.76,0.2856,,,0,8.73E-11,8.81E-11,0.99,-1.85E-13,2.45E-14,-7.53,3.50E-11,8.03E-12,4.36,
,2013 XY$_{20}$,1.130517251,0.106450093,2.86258438,1.010193021,5.516,25.65,,,,0,1.81E-10,4.98E-11,3.64,-1.52E-12,2.75E-13,-5.55,-1.09E-10,1.29E-11,-8.43,"needs further review, requires a DT to get a good fit"
