"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","tp_cal","class","two_body","A1","A2","A3","DT","spkid","pdes","name","prefix","neo","pha","sats","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","producer","first_obs","last_obs","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"    1P/Halley",17.93,0.9679,162.19,59.11,112.26,0.575,35.28,75.9,57852,0,8548,,,,1986-02-08.6,HTC,,4.8e-10,1.6e-10,,,1000036,1P,Halley,P,Y,,0,,5.5,13.6,8.0,5.0,0.03,11.0,14.9x8.2,0.04,,,,,,,,,,"JPL 73",2439857.5,39857,1968-01-02.0,J2000,274.14,0.01298,2446470.15,2.77e+04,0.0753,29.3,0.782,-0.598,7.5e-09,9.9e-09,1.4e-07,1.5e-05,2.0e-05,2.0e-05,1.2e-07,1.9e-08,1.1e-11,1.3e-05,2.3e-05,"Davide Farnocchia",1835-08-21,1994-01-11,.61018,4.0e-11,4.6e-15,,
"    2P/Encke",2.215,0.8483,11.78,334.56,186.56,0.336,4.09,3.3,5172,0,3186,,,,2017-03-10.0,ETc,,,,,,1000025,2P,Encke,P,Y,,0,,15.5,,4.5,,,4.8,,0.046,11.083,,,,,,,,,"JPL K235/29",2457732.5,57732,2016-12-10.0,J2000,333.06,0.299,2457822.59,1.2e+03,0.173,67.3,0.921,3.03,3.9e-08,6.8e-09,8.7e-08,7.0e-06,3.2e-05,3.2e-05,2.5e-06,1.3e-08,1.4e-09,8.3e-06,5.5e-06,"Davide Farnocchia",2009-08-15,2023-10-13,.70724,,,,
"    3D/Biela",3.535,0.7513,13.22,250.67,221.66,0.879,6.19,6.65,,,26,,,,1832-11-26.6,JFc,,3.9e-09,-2.5e-10,,,1000504,3D,Biela,D,Y,,0,,7.1,,10.0,,,,,,,,,,,,,,,IAUCAT03,2390520.5,-9480,1832-12-03.0,J2000,0.95,0.1483,2390514.12,2.43e+03,0.000518,0.202,,2.53,,,,,,,,,,,,Marsden,,,,,,,
"    5D/Brorsen",3.101,0.8098,29.38,102.97,14.95,0.590,5.61,5.46,,,127,,,,1879-03-31.0,JFc,,1.3e-08,1.3e-09,,,1000505,5D,Brorsen,D,Y,,0,,8.3,,10.0,,,,,,,,,,,,,,,IAUCAT03,2407440.5,7440,1879-04-01.0,J2000,0.17,0.1805,2407439.53,1.99e+03,0.367,143,,2.47,,,,,,,,,,,,Landgraf,,,,,,,
"    7P/Pons-Winnecke",3.419,0.6376,22.33,93.42,172.51,1.239,5.60,6.32,37122,0,1679,,,,2015-01-30.5,JFc,,6.4e-11,-5.2e-12,-1.0e-10,150,1000069,7P,Pons-Winnecke,P,Y,,0,,16.0,,4.5,,,5.2,,,,,,,,,,,,"JPL 30",2457137.5,57137,2015-04-25.0,J2000,13.17,0.1559,2457053.03,2.31e+03,0.226,87.8,0.273,2.68,2.9e-08,3.0e-08,1.0e-07,7.1e-06,1.4e-05,1.8e-05,2.8e-06,5.0e-08,2.1e-09,1.9e-05,3.1e-05,"Davide Farnocchia",1921-04-28,2022-12-16,.66978,3.6e-13,5.0e-13,2.8e-12,5.52
"    8P/Tuttle",5.7,0.8198,54.98,270.34,207.51,1.027,10.37,13.6,20161,0,1768,,,,2008-01-27.0,JFC,,4.2e-10,-1.7e-11,-4.6e-11,67.5,1000099,8P,Tuttle,P,Y,,0,,14.6,,4.5,,,4.5,,,,,,,,,,,1.00,"JPL K215/24",2454701.5,54701,2008-08-23.0,J2000,15.13,0.07242,2454492.52,4.97e+03,0.0953,37.1,0.738,1.6,4.1e-08,5.2e-07,2.7e-07,1.2e-05,3.1e-05,2.9e-05,7.8e-07,9.4e-07,9.9e-09,2.8e-05,6.8e-04,"Davide Farnocchia",1967-01-07,2022-03-20,.6884,4.3e-11,1.5e-11,6.6e-11,12.8
"   12P/Pons-Brooks",17.18,0.9545,74.19,255.85,198.99,0.781,33.58,71.2,25689,0,4077,,,,2024-04-21.1,HTC,,,,,,1000068,12P,Pons-Brooks,P,Y,,0,,5.0,11.0,15.0,10.0,,,,,,,,,,,,,,"JPL K242/40",2460104.5,60104,2023-06-09.0,J2000,355.61,0.01384,2460421.64,2.6e+04,0.18,70,2.02,0.598,8.4e-08,2.7e-07,1.4e-06,3.2e-05,7.3e-05,5.2e-05,4.0e-06,5.2e-07,3.2e-10,2.9e-04,6.0e-04,"Davide Farnocchia",1953-06-20,2023-10-20,.58062,,,,
"   13P/Olbers",16.65,0.9295,44.73,86.29,64.36,1.174,32.13,68,49726,0,281,,,,1956-06-15.3,HTC,,3.1e-09,5.9e-10,,,1000066,13P,Olbers,P,Y,,0,,7.0,,19.,,,,,,,,,,,,,,,"JPL 17",2438486.5,38486,1964-04-01.0,J2000,41.29,0.0145,2435639.82,2.48e+04,0.471,183,0.704,1.25,9.5e-08,1.2e-06,1.6e-06,8.3e-05,1.1e-04,2.4e-04,8.5e-06,2.2e-06,1.5e-09,3.9e-04,2.6e-03,"Davide Farnocchia",1887-08-28,2023-10-20,.94481,7.7e-10,1.8e-13,,
"   15P/Finlay",3.49,0.7202,6.80,13.75,347.63,0.977,6.00,6.52,5058,0,1655,,,,2014-12-27.0,JFc,,2.2e-09,-2.3e-10,1.6e-09,,1000027,15P,Finlay,P,Y,,0,,14.9,,8.5,,,,,,,,,,,,,,,"JPL K213/17",2457327.5,57327,2015-11-01.0,J2000,46.69,0.1511,2457018.57,2.38e+03,0.00923,3.59,0.162,2.62,8.4e-08,3.8e-08,2.9e-07,8.5e-06,1.2e-04,1.2e-04,2.9e-06,6.5e-08,2.5e-09,2.2e-05,3.9e-05,"Davide Farnocchia",2008-04-27,2022-03-03,.75893,3.0e-11,3.3e-13,4.5e-11,
"   18D/Perrine-Mrkos",3.56,0.6426,17.76,240.88,166.05,1.272,5.85,6.72,2584,1,16,,,,1968-11-01.5,JFc,,,,,,1000144,18D,Perrine-Mrkos,D,Y,,0,,11.5,15.5,20.0,15.0,,,,,,,,,,,,,,"JPL J682/18",2440240.5,40240,1969-01-19.0,J2000,11.51,0.1468,2440162.04,2.45e+03,0.289,113,,2.67,7.6e-07,4.1e-07,2.6e-06,1.2e-04,1.2e-04,3.7e-04,6.3e-05,6.7e-07,2.5e-08,4.3e-04,4.2e-04,"M.S.W. Keesey",1961-11-29,1968-12-26,1.6514,,,,
"   20D/Westphal",15.64,0.9198,40.89,348.01,57.08,1.254,30.03,61.9,22321,0,201,,,,1913-11-26.7,HTC,,,,,,1000212,20D,Westphal,D,Y,,0,,8.8,,10.0,,,,,,,,,,,,,,,"JPL 19",2420080.5,20080,1913-11-09.0,J2000,359.72,0.01593,2420098.29,2.26e+04,0.468,182,,1.36,2.2e-07,8.2e-07,3.4e-06,2.0e-04,1.3e-04,4.9e-04,8.5e-06,1.6e-06,1.3e-09,5.3e-04,1.8e-03,"M.S.W. Keesey",1852-09-01,1913-10-13,2.0333,,,,
"   21P/Giacobini-Zinner",3.5,0.7105,32.00,195.41,172.81,1.013,5.99,6.55,3196,0,1987,,,,2018-09-10.2,JFc,,3.1e-09,-1.8e-09,-1.8e-09,,1000032,21P,Giacobini-Zinner,P,Y,,0,,13.1,,8.5,,,2.0,,,,,,,,,,,,"JPL K182/14",2458063.5,58063,2017-11-06.0,J2000,313.61,0.1505,2458371.77,2.39e+03,0.0179,6.96,0.248,2.46,1.1e-07,1.5e-07,3.8e-07,7.8e-06,2.4e-05,3.9e-05,5.0e-06,2.6e-07,9.6e-09,3.2e-05,1.5e-04,"Shantanu Naidu",2011-05-01,2020-01-30,.50573,7.2e-11,4.4e-11,4.2e-11,
"   23P/Brorsen-Metcalf",17.07,0.9720,19.33,311.59,129.61,0.479,33.66,70.5,51904,0,223,,,,1989-09-11.9,HTC,,2.2e-09,-5.3e-10,,,1000009,23P,Brorsen-Metcalf,P,Y,,0,,7.8,14.0,8.0,5.0,0.03,,,,,,,,,,,,,"JPL 13",2447800.5,47800,1989-10-01.0,J2000,0.27,0.01398,2447781.44,2.58e+04,0.194,75.4,,1.11,7.0e-07,4.2e-04,8.3e-07,5.4e-05,1.3e-04,2.1e-04,1.0e-05,8.3e-04,5.2e-07,2.8e-05,9.5e-01,"M.S.W. Keesey",1847-08-01,1989-09-09,1.2347,2.1e-10,6.5e-14,,
"   24P/Schaumasse",4.086,0.7048,11.73,79.67,58.00,1.206,6.97,8.26,6464,3,832,,,,2017-11-16.7,JFc,,1.1e-09,-1.0e-09,,,1000077,24P,Schaumasse,P,Y,,0,,12.0,15.6,16.,5.,0.03,2.6,,,,,,,,,,,,"JPL K173/9",2457350.5,57350,2015-11-24.0,J2000,273.65,0.1193,2458074.26,3.02e+03,0.283,110,0.457,2.5,1.3e-06,1.7e-05,6.3e-07,1.7e-05,7.5e-05,1.5e-04,5.2e-04,2.9e-05,7.5e-07,1.6e-04,1.9e-02,"Shantanu Naidu",2000-10-07,2018-06-19,.6705,8.8e-11,1.6e-10,,
"   26P/Grigg-Skjellerup",3.038,0.6339,22.41,211.64,1.64,1.112,4.96,5.3,5475,0,430,,,,2008-03-23.7,JFc,,,,,,1000034,26P,Grigg-Skjellerup,P,Y,,0,,16.8,,5.,,,2.6,,,,,,,,,,,,"JPL K234/9",2455440.5,55440,2010-09-01.0,J2000,165.88,0.1861,2454549.21,1.93e+03,0.107,41.8,0.00215,2.81,5.9e-08,4.6e-08,1.8e-07,1.1e-05,3.3e-05,3.6e-05,5.8e-06,7.6e-08,4.3e-09,3.2e-05,4.4e-05,"Davide Farnocchia",2007-12-19,2022-12-15,.66984,,,,
"   27P/Crommelin",9.093,0.9193,29.22,250.96,195.96,0.734,17.45,27.4,20203,0,455,,,,2011-08-02.5,HTC,,5.1e-10,-2.7e-12,,,1000016,27P,Crommelin,P,Y,,0,,12.7,16.3,27.75,5.,0.03,,,,,,,,,,,,,"JPL 6",2452489.5,52489,2002-08-03.0,J2000,241.87,0.03594,2455776.07,1e+04,0.229,89,1.01,1.48,1.0e-07,5.3e-08,9.3e-07,5.3e-05,1.3e-04,1.2e-04,1.8e-06,1.0e-07,3.2e-10,7.0e-05,8.8e-05,"Davide Farnocchia",1956-10-03,2012-01-26,.83198,2.7e-10,9.5e-14,,
"   34D/Gale",4.944,0.7607,11.73,67.92,209.16,1.183,8.70,11,,,47,,,,1938-06-18.4,JFc,F,,,,,1000284,34D,Gale,D,Y,,0,,10.5,,20.0,,,,,,,,,,,,,,,SAO/1938,2429080.5,29080,1938-07-01.0,J2000,1.12,0.08967,2429067.98,4.02e+03,,,,2.29,,,,,,,,,,,,Marsden,1927-??-??,1938-??-??,,,,,
"   35P/Herschel-Rigollet",28.84,0.9740,64.21,355.98,29.30,0.748,56.94,155,,,75,,,,1939-08-09.4,HTC,F,,,,,1000043,35P,Herschel-Rigollet,P,Y,,0,,8.3,,10,,,,,,,,,,,,,,,SAO/1939,2429480.5,29480,1939-08-05.0,J2000,359.97,0.006363,2429484.96,5.66e+04,,,,0.644,,,,,,,,,,,,Marsden,1788-??-??,1940-??-??,,,,,
