"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma"
"  1566 Icarus (1949 MA)",1.078,0.8269,22.80,87.96,31.44,0.187,1.97,1.12,26694,0,1149,10,13,16.51,,,-3.0e-15,6.9e-16,,
"  1620 Geographos (1951 RA)",1.246,0.3354,13.34,337.18,276.97,0.828,1.66,1.39,25995,0,5089,3,4,15.33,,,-2.8e-15,9.6e-16,,
"  1685 Toro (1948 OA)",1.368,0.4360,9.38,274.23,127.21,0.771,1.96,1.6,26681,0,3641,7,2,14.31,,,-3.3e-15,6.4e-16,,
"  1862 Apollo (1932 HA)",1.471,0.5600,6.35,35.56,286.05,0.647,2.29,1.78,33329,0,2288,8,9,16.11,,,-3.8e-15,4.1e-16,,
"  2062 Aten (1976 AA)",0.9669,0.1828,18.93,108.54,148.05,0.790,1.14,0.951,23339,0,1024,5,2,17.11,,,-1.1e-14,1.1e-15,,
"  2063 Bacchus (1977 HB)",1.078,0.3494,9.43,33.07,55.37,0.701,1.45,1.12,16584,0,932,7,5,17.28,,,-1.0e-14,2.9e-15,,
"  2100 Ra-Shalom (1978 RA)",0.832,0.4366,15.76,170.79,356.08,0.469,1.20,0.759,17210,0,3667,9,2,16.26,,,-3.5e-15,7.5e-16,,
"  2101 Adonis (1936 CA)",1.874,0.7643,1.32,349.48,43.62,0.442,3.31,2.56,30790,0,119,0,5,18.73,,,-3.3e-14,5.7e-15,,
"  2340 Hathor (1976 UA)",0.8438,0.4499,5.86,211.31,40.09,0.464,1.22,0.775,15431,0,454,4,3,20.32,,,-3.1e-14,1.3e-15,,
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.26,265.22,322.18,0.140,2.40,1.43,14244,0,5620,8,0,14.40,,,-6.7e-15,8.0e-16,,
"  3361 Orpheus (1982 HR)",1.21,0.3230,2.66,188.68,302.36,0.819,1.60,1.33,14537,0,1147,2,0,19.39,,,1.9e-14,2.4e-15,,
"  3908 Nyx (1980 PA)",1.928,0.4593,2.19,261.21,126.62,1.042,2.81,2.68,15264,0,1947,15,1,17.46,,,1.2e-14,2.2e-15,,
"  4034 Vishnu (1986 PA)",1.06,0.4440,11.17,157.90,296.71,0.589,1.53,1.09,13162,0,665,0,1,18.52,,,-4.0e-14,6.7e-15,,
"  4179 Toutatis (1989 AC)",2.545,0.6245,0.45,125.26,277.93,0.956,4.13,4.06,32227,0,6627,35,28,15.32,-3.1e-13,9.3e-14,-7.7e-15,9.8e-16,,
"  4581 Asclepius (1989 FC)",1.023,0.3570,4.92,180.21,255.36,0.658,1.39,1.03,11706,0,424,2,2,20.74,,,-3.6e-14,6.0e-15,,
"  4660 Nereus (1982 DB)",1.485,0.3588,1.45,313.14,159.53,0.952,2.02,1.81,14853,0,2791,20,17,18.67,,,1.4e-14,6.6e-15,,
"  4688 (1980 WF)",2.232,0.5177,6.38,241.23,213.83,1.077,3.39,3.34,14739,0,332,,,19.60,,,-3.8e-14,8.0e-15,,
"  5604 (1992 FE)",0.9286,0.4061,4.72,311.90,82.65,0.552,1.31,0.895,16041,0,940,6,0,17.39,,,-2.7e-14,8.1e-15,,
"  6489 Golevka (1991 JX)",2.486,0.6124,2.27,209.48,68.67,0.963,4.01,3.92,8968,0,1017,20,20,19.22,,,-1.2e-14,1.5e-15,,
