object_name,ra,dec,x,y,date,mjd,exptime,img,hdu_ext,inst,filter
1989 UP,248.08559,-23.45258,2794.109501515209,352.5931286499979,2006-05-25,53880.4072801,110.0,849797p.fits.fz,23,MegaCam,unknown
1989 UP,248.07335,-23.45144,2810.8126019366086,571.8983590831448,2006-05-25,53880.4434577,110.0,849815p.fits.fz,23,MegaCam,unknown
1989 UP,248.07156,-23.45127,2817.71007602811,601.1554133721172,2006-05-25,53880.4487489,110.0,849816p.fits.fz,23,MegaCam,unknown
1989 UP,248.05625,-23.44983,2844.53125058926,872.5003169228875,2006-05-25,53880.4943343,110.0,849836p.fits.fz,23,MegaCam,unknown
1989 UP,247.72533,-23.42121,3377.1770646748805,279.9625576825847,2006-05-26,53881.4756616,110.0,849980p.fits.fz,26,MegaCam,unknown
1989 UP,202.12222,-1.9754,2217.129638003511,1286.9079320071207,2013-01-31,56323.33528413,10.0,dec046555.fits.fz,5,DECam,unknown
1989 UP,202.12222,-1.9754,2318.893913148493,1117.2544612430602,2013-01-31,56323.33528413,10.0,tu1902497.fits.fz,33,DECam,unknown
1989 UP,202.12222,-1.9754,2328.0066491561834,1124.2768192835688,2013-01-31,56323.33528413,10.0,c4d_130131_080248_ooi_z_v1.fits.fz,33,DECam,unknown
1989 UP,202.12224,-1.9754,2217.4010784210877,1285.7723942842717,2013-01-31,56323.33572442,240.0,dec046556.fits.fz,5,DECam,unknown
1989 UP,202.12224,-1.9754,2320.5213271978987,1119.0225509098095,2013-01-31,56323.33572442,240.0,tu1903433.fits.fz,33,DECam,unknown
1989 UP,202.12224,-1.9754,2329.5777067244812,1126.0452369473487,2013-01-31,56323.33572442,240.0,c4d_130131_080326_ooi_z_v1.fits.fz,33,DECam,unknown
1989 UP,202.12224,-1.9754,2330.1791286523985,1125.4588440423624,2013-01-31,56323.33572442,240.0,c4d_130131_080326_ooi_z_ls11.fits.fz,33,DECam,unknown
1989 UP,202.12239,-1.97538,1989.8283997469227,1516.041533362678,2013-01-31,56323.33889204,240.0,dec046557.fits.fz,5,DECam,unknown
1989 UP,202.12239,-1.97538,2096.2178289351455,1346.7876862317305,2013-01-31,56323.33889204,240.0,tu1903864.fits.fz,33,DECam,unknown
1989 UP,202.12239,-1.97538,2105.339731146986,1353.7998533551413,2013-01-31,56323.33889204,240.0,c4d_130131_080800_ooi_z_v1.fits.fz,33,DECam,unknown
1989 UP,202.12239,-1.97538,2105.870987652559,1353.2160779704977,2013-01-31,56323.33889204,240.0,c4d_130131_080800_ooi_z_ls11.fits.fz,33,DECam,unknown
1989 UP,202.12253,-1.97537,1760.1917864577192,1060.9806200465744,2013-01-31,56323.34202739,240.0,dec046558.fits.fz,5,DECam,unknown
1989 UP,202.12253,-1.97537,1869.7250129094605,889.7431135031502,2013-01-31,56323.34202739,240.0,tu1903963.fits.fz,33,DECam,unknown
1989 UP,202.12253,-1.97537,1878.8380753541321,896.7766086223397,2013-01-31,56323.34202739,240.0,c4d_130131_081231_ooi_z_v1.fits.fz,33,DECam,unknown
1989 UP,202.12253,-1.97537,1879.3272893771546,896.1908082486021,2013-01-31,56323.34202739,240.0,c4d_130131_081231_ooi_z_ls11.fits.fz,33,DECam,unknown
1989 UP,202.12267,-1.97535,2444.7516715753127,831.347444948256,2013-01-31,56323.3451334,240.0,dec046559.fits.fz,5,DECam,unknown
1989 UP,202.12267,-1.97535,2557.8041588974934,659.582417530099,2013-01-31,56323.3451334,240.0,tu1903544.fits.fz,33,DECam,unknown
1989 UP,202.12267,-1.97535,2566.8914026547086,666.6080028911314,2013-01-31,56323.3451334,240.0,c4d_130131_081659_ooi_z_v1.fits.fz,33,DECam,unknown
1989 UP,202.12267,-1.97535,2567.4137450363232,665.9811895013636,2013-01-31,56323.3451334,240.0,c4d_130131_081659_ooi_z_ls11.fits.fz,33,DECam,unknown
1989 UP,202.12281,-1.97533,2676.266842314444,1745.3312231297086,2013-01-31,56323.34825285,240.0,dec046560.fits.fz,5,DECam,unknown
1989 UP,202.12281,-1.97533,2791.156001906701,1567.3323733351613,2013-01-31,56323.34825285,240.0,tu1903092.fits.fz,33,DECam,unknown
1989 UP,202.12281,-1.97533,2800.2227309756313,1574.365727222945,2013-01-31,56323.34825285,240.0,c4d_130131_082129_ooi_z_v1.fits.fz,33,DECam,unknown
1989 UP,202.12281,-1.97533,2800.6962624326084,1573.6991845169593,2013-01-31,56323.34825285,240.0,c4d_130131_082129_ooi_z_ls11.fits.fz,33,DECam,unknown
1989 UP,202.12295,-1.97531,1532.5268076305858,1977.8237915752661,2013-01-31,56323.35135353,240.0,dec046561.fits.fz,5,DECam,unknown
1989 UP,202.12295,-1.97531,1652.8854605337704,1796.023400520931,2013-01-31,56323.35135353,240.0,tu1903257.fits.fz,33,DECam,unknown
1989 UP,202.12295,-1.97531,1662.0069415251112,1803.0367186877697,2013-01-31,56323.35135353,240.0,c4d_130131_082556_ooi_z_v1.fits.fz,33,DECam,unknown
