object_name,ra,dec,x,y,date,mjd,exptime,img,hdu_ext,inst,filter
1998 FR11,105.39717,20.3729,2457.112084507433,1965.4772775490483,2005-06-30,53551.9484777,1.0,800907o.fits.fz,2,MegaCam,unknown
1998 FR11,105.39731,20.37288,2470.3334286589034,2017.130116418949,2005-06-30,53551.9491206,1.0,800908o.fits.fz,4,MegaCam,unknown
1998 FR11,105.39746,20.37287,2458.4513854309544,1786.1649845030668,2005-06-30,53551.9497982,1.0,800909o.fits.fz,6,MegaCam,unknown
1998 FR11,105.39761,20.37286,2401.593153809057,1844.741573211707,2005-06-30,53551.9504347,1.0,800910o.fits.fz,8,MegaCam,unknown
1998 FR11,16.45928,-0.96271,920.915746638218,1324.3651916977697,2013-01-08,56300.2389871,52.0,1605077p.fits.fz,26,MegaCam,unknown
1998 FR11,16.46593,-0.95901,992.1664552231018,1196.3513395212221,2013-01-08,56300.2555159,85.0,1605089p.fits.fz,26,MegaCam,unknown
1998 FR11,16.47455,-0.95423,1084.2141653051194,1030.4144896483367,2013-01-08,56300.2769083,144.0,1605101p.fits.fz,26,MegaCam,unknown
1998 FR11,110.43017,19.11705,2337.8833551341686,949.9860869276172,2015-01-10,57032.22302623,171.0,c4d_150110_052449_ooi_z_v1.fits.fz,45,DECam,unknown
1998 FR11,110.43017,19.11705,2337.979976217703,949.6637249202968,2015-01-10,57032.22302623,171.0,c4d_150110_052449_ooi_z_ls9.fits.fz,45,DECam,unknown
1998 FR11,137.39568,16.38111,3837.945714514362,320.8145938772559,2016-01-15,57402.24637036,43.0,c4d_160115_055620_ooi_r_v1.fits.fz,8,DECam,unknown
1998 FR11,137.39568,16.38111,3838.2054035142432,320.3480184130967,2016-01-15,57402.24637036,43.0,c4d_160115_055620_ooi_r_ls9.fits.fz,8,DECam,unknown
1998 FR11,137.39551,16.38116,3833.0067105571384,321.09428559510343,2016-01-15,57402.24719303,79.0,c4d_160115_055806_ooi_g_v1.fits.fz,8,DECam,unknown
1998 FR11,137.39551,16.38116,3833.271519233721,320.68081447702025,2016-01-15,57402.24719303,79.0,c4d_160115_055806_ooi_g_ls9.fits.fz,8,DECam,unknown
1998 FR11,122.76423,17.65017,1991.609881810337,1069.3747989441972,2019-12-10,58827.33097562,200.0,c4d_191210_075636_ooi_i_v1.fits.fz,12,DECam,unknown
1998 FR11,107.95235,20.78723,1744.8377864465024,402.43092397374676,2020-03-09,58917.05841273,60.0,c4d_200309_012406_ooi_z_v1.fits.fz,13,DECam,unknown
1998 FR11,107.68756,20.88005,2246.366011972743,168.4219371147583,2020-03-14,58922.04958219,30.0,c4d_200314_011123_ooi_g_v1.fits.fz,52,DECam,unknown
1998 FR11,107.68753,20.88006,2238.277763708771,168.94629881711808,2020-03-14,58922.05026041,83.0,c4d_200314_011222_ooi_r_v1.fits.fz,52,DECam,unknown
1998 FR11,107.57731,20.9303,960.1440717242416,1726.1869904157447,2020-03-17,58925.10482909,79.0,c4d_200317_023057_ooi_r_v1.fits.fz,55,DECam,unknown
1998 FR11,107.57727,20.93032,2810.016528044523,164.4912822109536,2020-03-17,58925.10608485,79.0,c4d_200317_023245_ooi_r_v1.fits.fz,48,DECam,unknown
1998 FR11,107.57719,20.93036,1308.1904628693235,375.4268558341819,2020-03-17,58925.10853276,75.0,c4d_200317_023617_ooi_r_v1.fits.fz,19,DECam,unknown
