object_name,ra,dec,x,y,date,mjd,exptime,img,hdu_ext,inst,filter
2011 BT15,19.60935,7.66154,2552.327711868107,758.8748365682786,2005-02-09,53410.2220548,80.0,780076p.fits.fz,19,MegaCam,unknown
2011 BT15,19.61648,7.66458,2593.4977469111373,591.7176175636905,2005-02-09,53410.2281644,80.0,780080p.fits.fz,19,MegaCam,unknown
2011 BT15,19.6236,7.66762,2645.5490796772874,528.9173007590325,2005-02-09,53410.2342618,80.0,780084p.fits.fz,19,MegaCam,unknown
2011 BT15,243.95237,-21.08966,3630.6778797833886,1815.9862908138311,2007-07-30,54311.2733483,180.0,931416p.fits.fz,31,MegaCam,unknown
2011 BT15,243.95152,-21.09053,3613.3552382548614,1829.742019959518,2007-07-30,54311.3132685,180.0,931431p.fits.fz,31,MegaCam,unknown
2011 BT15,243.95088,-21.09144,3596.325248144366,1840.0799570297895,2007-07-30,54311.3535932,180.0,931446p.fits.fz,31,MegaCam,unknown
2011 BT15,244.43007,-21.47731,1115.8828109713213,805.0777052910671,2007-08-09,54321.2782193,110.0,934657p.fits.fz,9,MegaCam,unknown
2011 BT15,244.68935,-21.57631,3073.7781238056314,1278.3194004975794,2007-08-11,54323.2670921,110.0,934959p.fits.fz,7,MegaCam,unknown
2011 BT15,245.0006,-21.68179,99.88737103463882,506.6346953375453,2007-08-13,54325.2598634,110.0,935263p.fits.fz,13,MegaCam,unknown
2011 BT15,304.96217,-18.65509,4122.330824176654,1834.2061341588822,2013-06-01,56444.4557045,300.0,1630213p.fits.fz,24,MegaCam,unknown
2011 BT15,304.96263,-18.65503,4203.746659125259,1861.5694403374366,2013-06-01,56444.4597314,300.0,1630214p.fits.fz,24,MegaCam,unknown
2011 BT15,304.96309,-18.65497,4151.329898987602,1915.565648538323,2013-06-01,56444.4637648,300.0,1630215p.fits.fz,24,MegaCam,unknown
2011 BT15,304.96372,-18.65488,4124.83324106263,1834.7569538358864,2013-06-01,56444.469305,300.0,1630216p.fits.fz,24,MegaCam,unknown
2011 BT15,304.96421,-18.65482,4206.248908661977,1862.302710645373,2013-06-01,56444.4735455,300.0,1630217p.fits.fz,24,MegaCam,unknown
2011 BT15,304.9647,-18.65475,4152.870649045437,1915.0222485053857,2013-06-01,56444.477753,300.0,1630218p.fits.fz,24,MegaCam,unknown
2011 BT15,304.96521,-18.65468,4127.720878377151,1835.1251878777045,2013-06-01,56444.4822087,300.0,1630219p.fits.fz,24,MegaCam,unknown
2011 BT15,304.9657,-18.65462,4207.982177927021,1861.7588975407868,2013-06-01,56444.4864087,300.0,1630220p.fits.fz,24,MegaCam,unknown
2011 BT15,304.9662,-18.65455,4154.604093397187,1914.2960804722854,2013-06-01,56444.4907262,300.0,1630221p.fits.fz,24,MegaCam,unknown
2011 BT15,305.47914,-18.63606,4075.0454972769917,5.825304447009785,2013-06-06,56449.485241,300.0,1630892p.fits.fz,25,MegaCam,unknown
2011 BT15,305.47942,-18.63606,4155.8819097914675,32.643353566718815,2013-06-06,56449.489724,300.0,1630893p.fits.fz,25,MegaCam,unknown
2011 BT15,305.47969,-18.63605,4102.499100328436,85.36777036531021,2013-06-06,56449.4940027,300.0,1630894p.fits.fz,25,MegaCam,unknown
2011 BT15,174.82562,7.8218,1677.2030304033274,285.07347185448816,2017-03-27,57839.17403781,78.0,c4d_170327_041244_ooi_g_v1.fits.fz,7,DECam,unknown
2011 BT15,174.82562,7.8218,1677.1941870422902,285.074948091471,2017-03-27,57839.17403781,78.0,c4d_170327_041244_ooi_g_ls9.fits.fz,7,DECam,unknown
2011 BT15,173.67927,8.18577,3634.8358699550477,314.95030080738525,2017-03-30,57842.12358118,73.0,c4d_170330_025958_ooi_r_v1.fits.fz,41,DECam,unknown
2011 BT15,173.67927,8.18577,3634.835421164966,314.9524692253649,2017-03-30,57842.12358118,73.0,c4d_170330_025958_ooi_r_ls9.fits.fz,41,DECam,unknown
2011 BT15,172.98259,8.39107,544.5829140422182,2035.4140649727601,2017-04-01,57844.10932618,175.0,c4d_170401_024110_ooi_g_v1.fits.fz,26,DECam,unknown
2011 BT15,172.98259,8.39107,544.5805186616642,2035.4117016993384,2017-04-01,57844.10932618,175.0,c4d_170401_024110_ooi_g_ls9.fits.fz,26,DECam,unknown
2011 BT15,172.63905,6.25418,1602.2539012171212,1602.9116692425087,2017-05-19,57892.99698452,125.0,c4d_170519_235837_ooi_r_v1.fits.fz,7,DECam,unknown
2011 BT15,172.63905,6.25418,1602.2492426480624,1602.9140697672901,2017-05-19,57892.99698452,125.0,c4d_170519_235837_ooi_r_ls9.fits.fz,7,DECam,unknown
2011 BT15,210.42105,-9.52548,841.8424126389956,882.3206957492375,2020-02-02,58881.36280412,60.0,c4d_200202_084226_ooi_z_v1.fits.fz,21,DECam,unknown
2011 BT15,186.75421,0.61566,2535.3350120211176,627.1491321162175,2020-05-16,58985.4285052,40.0,2488682p.fits.fz,10,MegaCam,unknown
2011 BT15,186.75419,0.61564,2199.730183414868,463.69602281049083,2020-05-16,58985.4294554,40.0,2488683p.fits.fz,10,MegaCam,unknown
2011 BT15,186.75416,0.61561,2885.8341548097596,371.3995883614489,2020-05-16,58985.43041,40.0,2488684p.fits.fz,10,MegaCam,unknown
2011 BT15,186.75413,0.61558,3180.2948889703825,529.4619053190199,2020-05-16,58985.4313679,40.0,2488685p.fits.fz,10,MegaCam,unknown
2011 BT15,186.75411,0.61556,2549.6429280260327,616.3838422929266,2020-05-16,58985.432316,40.0,2488686p.fits.fz,10,MegaCam,unknown
2011 BT15,186.75408,0.61553,2211.0909287852755,454.78041806569854,2020-05-16,58985.4332638,40.0,2488687p.fits.fz,10,MegaCam,unknown
2011 BT15,186.75405,0.6155,2897.3263927707158,363.95546682227723,2020-05-16,58985.4342165,40.0,2488688p.fits.fz,10,MegaCam,unknown
2011 BT15,186.75403,0.61548,3190.533814043376,522.8316838428227,2020-05-16,58985.435163,40.0,2488689p.fits.fz,10,MegaCam,unknown
2011 BT15,9.89861,3.05001,1746.3028008406845,1832.8444531214573,2022-06-19,59749.37619962,50.0,c4d_220619_090143_ooi_r_v1.fits.fz,13,DECam,unknown
2011 BT15,9.89861,3.05001,1746.3028008406845,1832.8444531214573,2022-06-19,59749.37619962,50.0,c4d_220619_090143_ooi_r_yse.fits.fz,13,DECam,unknown
2011 BT15,9.90483,3.0525,1839.6685591486116,1783.9662031347816,2022-06-19,59749.38290484,50.0,c4d_220619_091122_ooi_i_v1.fits.fz,13,DECam,unknown
2011 BT15,9.90483,3.0525,1839.668687509577,1783.9643250859053,2022-06-19,59749.38290484,50.0,c4d_220619_091122_ooi_i_yse.fits.fz,13,DECam,unknown
2011 BT15,10.85902,3.42793,2069.607290087122,1134.3309547627923,2022-06-20,59750.39479433,50.0,c4d_220620_092830_ooi_i_v1.fits.fz,6,DECam,unknown
2011 BT15,10.85902,3.42793,2069.607290087121,1134.3309547627923,2022-06-20,59750.39479433,50.0,c4d_220620_092830_ooi_i_yse.fits.fz,6,DECam,unknown
2011 BT15,10.86476,3.43021,2183.7158881359073,1113.8035797461853,2022-06-20,59750.40093922,50.0,c4d_220620_093721_ooi_z_v1.fits.fz,6,DECam,unknown
2011 BT15,10.86476,3.43021,2183.7158881359073,1113.8035797461798,2022-06-20,59750.40093922,50.0,c4d_220620_093721_ooi_z_yse.fits.fz,6,DECam,unknown
