object_name,ra,dec,x,y,date,mjd,exptime,img,hdu_ext,inst,filter
2012 UR158,352.14086,-0.58731,1377.7778870920474,1281.6410131814823,2007-06-17,54268.57321,500.0,919804p.fits.fz,13,MegaCam,unknown
2012 UR158,327.83827,-9.85746,3484.4222127378916,1607.4934985421078,2013-08-16,56520.28856343,30.0,dec098793.fits.fz,20,DECam,unknown
2012 UR158,327.83827,-9.85746,3482.908897905903,1615.253772045805,2013-08-16,56520.28856343,30.0,c4d_130816_065531_ooi_z_a1.fits.fz,22,DECam,unknown
2012 UR158,327.83827,-9.85746,3482.6703984592514,1614.8477107669864,2013-08-16,56520.28856343,30.0,c4d_130816_065531_ooi_z_ls11.fits.fz,22,DECam,unknown
2012 UR158,354.62161,0.35486,148.97424256240197,1462.3127694769555,2014-05-26,56803.40543751,134.0,c4d_140526_094658_ooi_g_v1.fits.fz,29,DECam,unknown
2012 UR158,354.62161,0.35486,149.1350207876237,1461.4976179274502,2014-05-26,56803.40543751,134.0,c4d_140526_094658_ooi_g_ls9.fits.fz,29,DECam,unknown
2012 UR158,354.6218,0.35497,4074.6086191092218,1793.2790430643045,2014-05-26,56803.40732956,134.0,c4d_140526_094941_ooi_g_v1.fits.fz,28,DECam,unknown
2012 UR158,354.6218,0.35497,4074.6220312229693,1792.665388173883,2014-05-26,56803.40732956,134.0,c4d_140526_094941_ooi_g_ls9.fits.fz,28,DECam,unknown
2012 UR158,354.62218,0.35518,176.4205114241018,1440.0259496907177,2014-05-26,56803.41108123,167.0,c4d_140526_095538_ooi_r_v1.fits.fz,29,DECam,unknown
2012 UR158,354.62218,0.35518,176.41099604842722,1439.2367723131986,2014-05-26,56803.41108123,167.0,c4d_140526_095538_ooi_r_ls9.fits.fz,29,DECam,unknown
2012 UR158,354.62287,0.35556,190.1270190422761,1417.8010689775915,2014-05-26,56803.41785607,200.0,c4d_140526_100555_ooi_z_v1.fits.fz,29,DECam,unknown
2012 UR158,354.62287,0.35556,189.96994672858088,1416.8795935512067,2014-05-26,56803.41785607,200.0,c4d_140526_100555_ooi_z_ls9.fits.fz,29,DECam,unknown
2012 UR158,346.96163,-1.64929,3773.590479308944,1024.977530169676,2014-09-06,56906.1300084,45.0,c4d_140906_030847_ooi_Y_v1.fits.fz,43,DECam,unknown
2012 UR158,346.96163,-1.64929,3773.091199636371,1024.5848653017588,2014-09-06,56906.1300084,45.0,c4d_140906_030847_ooi_Y_ls11.fits.fz,43,DECam,unknown
2012 UR158,14.43625,9.32619,3988.389791153772,1420.9376904122792,2015-06-19,57192.45129386,60.0,c4d_150619_105142_ooi_i_v1.fits.fz,48,DECam,unknown
2012 UR158,14.43625,9.32619,3988.042460892791,1420.3269135436976,2015-06-19,57192.45129386,60.0,c4d_150619_105142_ooi_i_ls11.fits.fz,48,DECam,unknown
2012 UR158,14.58467,9.40075,1776.5976347210228,348.02575242536386,2015-06-20,57193.43423538,60.0,c4d_150620_102715_ooi_i_v2.fits.fz,49,DECam,unknown
2012 UR158,14.58467,9.40075,1776.3124930242861,347.45980426053393,2015-06-20,57193.43423538,60.0,c4d_150620_102715_ooi_i_ls11.fits.fz,49,DECam,unknown
2012 UR158,15.43959,9.83781,2853.1865077702087,699.4326645987803,2015-06-26,57199.4220342,50.0,c4d_150626_100922_ooi_i_v1.fits.fz,12,DECam,unknown
2012 UR158,15.43959,9.83781,2852.807250850169,698.9618485440151,2015-06-26,57199.4220342,50.0,c4d_150626_100922_ooi_i_ls10.fits.fz,12,DECam,unknown
2012 UR158,15.43971,9.83788,1204.826443909826,890.3066934830294,2015-06-26,57199.42296046,50.0,c4d_150626_101043_ooi_i_v1.fits.fz,60,DECam,unknown
2012 UR158,15.43971,9.83788,1204.547631517399,889.6843429088149,2015-06-26,57199.42296046,50.0,c4d_150626_101043_ooi_i_ls10.fits.fz,60,DECam,unknown
2012 UR158,354.17159,2.49589,3023.3220623356415,1041.6467048010945,2015-11-07,57333.05847945,90.0,c4d_151107_012631_ooi_r_v1.fits.fz,9,DECam,unknown
2012 UR158,354.17159,2.49589,3023.054985638474,1041.117637211517,2015-11-07,57333.05847945,90.0,c4d_151107_012631_ooi_r_ls9.fits.fz,9,DECam,unknown
2012 UR158,354.17123,2.49571,3031.6486316663263,1044.2506820615536,2015-11-07,57333.05985963,90.0,c4d_151107_012832_ooi_i_v1.fits.fz,9,DECam,unknown
2012 UR158,354.17123,2.49571,3031.3869927875835,1043.6837961176288,2015-11-07,57333.05985963,90.0,c4d_151107_012832_ooi_i_ls10.fits.fz,9,DECam,unknown
2012 UR158,354.17088,2.49552,3023.622003586346,1043.8105171638636,2015-11-07,57333.06122475,90.0,c4d_151107_013029_ooi_g_v1.fits.fz,9,DECam,unknown
2012 UR158,354.17088,2.49552,3023.345018558975,1043.291083277706,2015-11-07,57333.06122475,90.0,c4d_151107_013029_ooi_g_ls9.fits.fz,9,DECam,unknown
2012 UR158,352.3741,0.09108,1839.005001653125,168.88868117010497,2016-01-02,57389.226356,600.0,1859804p.fits.fz,40,MegaCam,unknown
2012 UR158,352.37538,0.09143,2008.8883202243987,20.85292175478935,2016-01-02,57389.2338743,600.0,1859805p.fits.fz,40,MegaCam,unknown
2012 UR158,352.54114,0.13781,2748.638034644843,1211.646952509098,2016-01-03,57390.2115402,600.0,1859995p.fits.fz,26,MegaCam,unknown
2012 UR158,352.54246,0.13817,2916.5830802768496,1067.9084146342875,2016-01-03,57390.2190587,600.0,1859996p.fits.fz,26,MegaCam,unknown
2012 UR158,352.54378,0.13854,3245.502811214342,1190.1108783523105,2016-01-03,57390.2265735,600.0,1859997p.fits.fz,26,MegaCam,unknown
2012 UR158,352.54511,0.13891,2609.2964680186697,1255.59957564448,2016-01-03,57390.2341523,600.0,1859998p.fits.fz,26,MegaCam,unknown
2012 UR158,352.54644,0.13928,2305.154428250298,1051.3581653096417,2016-01-03,57390.2416708,600.0,1859999p.fits.fz,26,MegaCam,unknown
2012 UR158,352.54777,0.13965,2460.987477331474,1003.5699030581591,2016-01-03,57390.2492149,600.0,1860000p.fits.fz,26,MegaCam,unknown
2012 UR158,316.44712,-14.33465,3748.8493622449273,513.3096059597851,2016-07-18,57587.07969465,30.0,c4d_160718_015604_ooi_r_v1.fits.fz,18,DECam,unknown
2012 UR158,316.44712,-14.33465,3748.73938331271,512.7939682451852,2016-07-18,57587.07969465,30.0,c4d_160718_015604_ooi_r_ls9.fits.fz,18,DECam,unknown
2012 UR158,2.23781,5.39384,673.8298996660471,178.01832144424134,2018-09-02,58363.347134,95.0,c4d_180902_081952_ooi_z_v1.fits.fz,40,DECam,unknown
2012 UR158,2.23781,5.39384,673.8267133474142,178.01597165964495,2018-09-02,58363.347134,95.0,c4d_180902_081952_ooi_z_ls9.fits.fz,40,DECam,unknown
2012 UR158,2.23748,5.39372,933.2397052290964,1326.7627243742136,2018-09-02,58363.34858078,88.0,c4d_180902_082157_ooi_z_v1.fits.fz,39,DECam,unknown
2012 UR158,2.23748,5.39372,933.2390629441566,1326.7613698256296,2018-09-02,58363.34858078,88.0,c4d_180902_082157_ooi_z_ls9.fits.fz,39,DECam,unknown
2012 UR158,1.82849,5.23989,3814.5572963977947,968.8570925679287,2018-09-04,58365.1302655,63.0,c4d_180904_030734_ooi_r_v1.fits.fz,49,DECam,unknown
2012 UR158,1.82849,5.23989,3814.558068367147,968.8553506392718,2018-09-04,58365.1302655,63.0,c4d_180904_030734_ooi_r_ls9.fits.fz,49,DECam,unknown
2012 UR158,1.35268,5.0589,3455.0849664688535,109.9092710380146,2018-09-06,58367.13876769,93.0,c4d_180906_031949_ooi_g_v1.fits.fz,54,DECam,unknown
2012 UR158,1.35268,5.0589,3455.083971565694,109.90911935754502,2018-09-06,58367.13876769,93.0,c4d_180906_031949_ooi_g_ls9.fits.fz,54,DECam,unknown
2012 UR158,1.35234,5.05877,3450.7440267056777,119.60944017228576,2018-09-06,58367.14017027,40.0,c4d_180906_032150_ooi_r_v1.fits.fz,54,DECam,unknown
2012 UR158,1.35234,5.05877,3450.743043411246,119.61054344308377,2018-09-06,58367.14017027,40.0,c4d_180906_032150_ooi_r_ls9.fits.fz,54,DECam,unknown
2012 UR158,358.02281,3.72743,1098.501280690753,1142.8377752545885,2018-09-19,58380.07382307,250.0,c4d_180919_014618_ooi_z_v1.fits.fz,51,DECam,unknown
2012 UR158,358.02281,3.72743,1098.5059316340555,1142.8432521366904,2018-09-19,58380.07382307,250.0,c4d_180919_014618_ooi_z_ls9.fits.fz,51,DECam,unknown
2012 UR158,350.29235,0.27034,3821.2875375542535,1396.9919387033551,2018-10-19,58410.00173177,90.0,c4d_181019_000229_ooi_Y_v1.fits.fz,58,DECam,unknown
2012 UR158,325.64539,-11.13804,3472.6732582531636,1382.18308160764,2020-11-26,59179.03928682,90.0,c4d_201126_005634_ooi_i_v1.fits.fz,17,DECam,unknown
