object_name,ra,dec,x,y,date,mjd,exptime,img,hdu_ext,inst,filter
2015 WN1,58.87125,19.75462,206.41276836872476,1186.7856579103461,2006-02-18,53784.2252121,30.0,838697o.fits.fz,14,MegaCam,unknown
2015 WN1,58.87261,19.75488,283.6139270996,1280.6312066993087,2006-02-18,53784.2268989,30.0,838698p.fits.fz,14,MegaCam,unknown
2015 WN1,58.87402,19.75515,280.38585558136856,1312.495483374206,2006-02-18,53784.2286436,30.0,838699p.fits.fz,14,MegaCam,unknown
2015 WN1,158.30547,8.23424,2953.572288212633,1323.8035574893584,2013-04-01,56383.1258777,100.0,dec065320.fits.fz,12,DECam,unknown
2015 WN1,158.30547,8.23424,2951.4594663539197,1348.2150301194033,2013-04-01,56383.1258777,100.0,tu1704332.fits.fz,4,DECam,unknown
2015 WN1,158.30547,8.23424,2960.535349508372,1355.2074736062805,2013-04-01,56383.1258777,100.0,c4d_130401_030115_ooi_z_v1.fits.fz,4,DECam,unknown
2015 WN1,158.30547,8.23424,2960.675067295743,1354.9502184546109,2013-04-01,56383.1258777,100.0,c4d_130401_030115_ooi_z_ls11.fits.fz,4,DECam,unknown
2015 WN1,221.17634,-16.29388,681.3535284146292,1864.8202767651433,2015-01-26,57048.6100519,387.0,1778492p.fits.fz,33,MegaCam,unknown
2015 WN1,222.62786,-16.72536,151.2474834881299,912.9420088525558,2015-01-30,57052.35382384,150.0,c4d_150130_083250_ooi_VR_v1.fits.fz,22,DECam,unknown
2015 WN1,231.29064,-19.04742,1975.9702745880825,775.043785433238,2015-02-24,57077.23271767,150.0,c4d_150224_053828_ooi_VR_v1.fits.fz,31,DECam,unknown
2015 WN1,231.29126,-19.04758,1751.7804543888901,550.988056379565,2015-02-24,57077.23478147,150.0,c4d_150224_054128_ooi_VR_v1.fits.fz,31,DECam,unknown
2015 WN1,223.79209,-16.63776,404.50283147545707,1813.0963195111658,2015-05-20,57162.00356635,40.0,c4d_150520_000639_ooi_VR_v4.fits.fz,33,DECam,unknown
2015 WN1,223.79025,-16.63723,380.5972562239059,1806.8705215218458,2015-05-20,57162.00675818,40.0,c4d_150520_001113_ooi_VR_v4.fits.fz,33,DECam,unknown
2015 WN1,223.78838,-16.63668,342.51721083512325,1798.879404023046,2015-05-20,57162.01000979,40.0,c4d_150520_001555_ooi_VR_v4.fits.fz,33,DECam,unknown
2015 WN1,223.78655,-16.63615,316.9578210544536,1782.674243134414,2015-05-20,57162.01318505,40.0,c4d_150520_002029_ooi_VR_v4.fits.fz,33,DECam,unknown
2015 WN1,223.78471,-16.63561,305.3000188218724,1771.4154198047784,2015-05-20,57162.0163679,40.0,c4d_150520_002504_ooi_VR_v4.fits.fz,33,DECam,unknown
2015 WN1,223.22842,-16.46153,1504.7405625371982,1709.5321337131672,2015-05-21,57163.01023976,40.0,c4d_150521_001614_ooi_VR_v1.fits.fz,24,DECam,unknown
2015 WN1,223.22658,-16.46099,1486.849988197646,1691.332579908512,2015-05-21,57163.01342476,40.0,c4d_150521_002047_ooi_VR_v1.fits.fz,24,DECam,unknown
2015 WN1,223.22473,-16.46044,1458.8811376242538,1687.3097495265708,2015-05-21,57163.01661195,40.0,c4d_150521_002524_ooi_VR_v1.fits.fz,24,DECam,unknown
2015 WN1,223.22287,-16.45989,1420.5018164696762,1671.876977187565,2015-05-21,57163.01983925,40.0,c4d_150521_003004_ooi_VR_v1.fits.fz,24,DECam,unknown
2015 WN1,223.221,-16.45934,1388.1354811372257,1661.1359276034977,2015-05-21,57163.02306442,40.0,c4d_150521_003442_ooi_VR_v1.fits.fz,24,DECam,unknown
2015 WN1,222.66707,-16.28403,1077.551167695198,1005.6283426288337,2015-05-22,57164.01252972,40.0,c4d_150522_001931_ooi_VR_v1.fits.fz,57,DECam,unknown
2015 WN1,222.66521,-16.28347,1049.700482756553,1003.7599414264623,2015-05-22,57164.015748,40.0,c4d_150522_002412_ooi_VR_v1.fits.fz,57,DECam,unknown
2015 WN1,222.66334,-16.28292,1016.7806322970156,1007.7444129541927,2015-05-22,57164.01898147,40.0,c4d_150522_002848_ooi_VR_v1.fits.fz,57,DECam,unknown
