AzAng  WedgeArea    SkyStDev  MedianFlux/Pix  NetMedianFlux/Pix         Err  FluxPerSqArcsec         Err  NormFluxPerSqArcsec       Err  3sigLimSBMagOffset
  0.0        174   9.529e-01       1.188e+00         -4.719e-03   7.224e-02       -6.786e-02   3.613e+00            -0.000033  0.001762              -5.692
 15.0        160   1.075e+00       1.105e+00         -8.800e-02   8.499e-02       -1.265e+00   4.077e+00            -0.000617  0.001988              -5.561
 30.0        201   1.017e+00       1.356e+00          1.630e-01   7.174e-02        2.344e+00   3.857e+00             0.001143  0.001880              -5.622
 45.0        209   1.080e+00       1.283e+00          8.969e-02   7.471e-02        1.290e+00   4.096e+00             0.000629  0.001997              -5.556
 60.0        190   1.076e+00       1.264e+00          7.094e-02   7.805e-02        1.020e+00   4.080e+00             0.000497  0.001989              -5.561
 75.0        185   1.012e+00       1.038e+00         -1.550e-01   7.437e-02       -2.229e+00   3.836e+00            -0.001087  0.001870              -5.627
 90.0        221   1.300e+00       1.260e+00          6.738e-02   8.742e-02        9.689e-01   4.928e+00             0.000472  0.002403              -5.355
105.0        261   1.265e+00       1.439e+00          2.461e-01   7.828e-02        3.539e+00   4.796e+00             0.001725  0.002338              -5.385
120.0        235   1.205e+00       1.383e+00          1.896e-01   7.860e-02        2.727e+00   4.569e+00             0.001329  0.002228              -5.438
135.0        197   1.069e+00       1.064e+00         -1.293e-01   7.614e-02       -1.860e+00   4.052e+00            -0.000907  0.001976              -5.568
150.0        194   1.153e+00       1.231e+00          3.766e-02   8.275e-02        5.416e-01   4.371e+00             0.000264  0.002131              -5.486
165.0        200   1.105e+00       1.273e+00          8.030e-02   7.815e-02        1.155e+00   4.191e+00             0.000563  0.002043              -5.531
180.0        160   9.684e-01       9.835e-01         -2.096e-01   7.656e-02       -3.015e+00   3.672e+00            -0.001470  0.001790              -5.675
195.0        175   1.066e+00       1.029e+00         -1.638e-01   8.060e-02       -2.356e+00   4.043e+00            -0.001149  0.001971              -5.570
210.0        180   1.097e+00       1.181e+00         -1.161e-02   8.176e-02       -1.670e-01   4.160e+00            -0.000081  0.002028              -5.539
225.0        172   1.092e+00       1.103e+00         -9.006e-02   8.326e-02       -1.295e+00   4.141e+00            -0.000631  0.002019              -5.544
240.0        188   1.094e+00       1.115e+00         -7.828e-02   7.980e-02       -1.126e+00   4.149e+00            -0.000549  0.002023              -5.542
255.0        178   1.036e+00       1.198e+00          4.719e-03   7.764e-02        6.786e-02   3.928e+00             0.000033  0.001915              -5.602
270.0        194   1.087e+00       1.231e+00          3.746e-02   7.801e-02        5.388e-01   4.120e+00             0.000263  0.002009              -5.550
285.0        200   1.215e+00       1.238e+00          4.455e-02   8.594e-02        6.407e-01   4.609e+00             0.000312  0.002247              -5.428
300.0        206   1.039e+00       1.095e+00         -9.765e-02   7.238e-02       -1.404e+00   3.939e+00            -0.000685  0.001921              -5.599
315.0        177   1.139e+00       1.039e+00         -1.541e-01   8.564e-02       -2.215e+00   4.320e+00            -0.001080  0.002106              -5.498
330.0        177   1.146e+00       1.284e+00          9.084e-02   8.613e-02        1.306e+00   4.345e+00             0.000637  0.002119              -5.492
345.0        161   1.093e+00       1.141e+00         -5.196e-02   8.614e-02       -7.472e-01   4.145e+00            -0.000364  0.002021              -5.543
