AzAng  WedgeArea    SkyStDev  MedianFlux/Pix  NetMedianFlux/Pix         Err  FluxPerSqArcsec         Err  NormFluxPerSqArcsec       Err  3sigLimSBMagOffset
  0.0        188   1.160e+00       9.725e-01         -2.166e-01   8.463e-02       -3.115e+00   4.401e+00            -0.001516  0.002141              -5.480
 15.0        183   1.149e+00       1.316e+00          1.266e-01   8.492e-02        1.820e+00   4.357e+00             0.000886  0.002120              -5.491
 30.0        235   1.196e+00       1.419e+00          2.295e-01   7.801e-02        3.300e+00   4.535e+00             0.001606  0.002207              -5.448
 45.0        237   1.227e+00       1.383e+00          1.942e-01   7.971e-02        2.792e+00   4.653e+00             0.001359  0.002264              -5.420
 60.0        185   1.006e+00       1.124e+00         -6.528e-02   7.394e-02       -9.387e-01   3.814e+00            -0.000457  0.001856              -5.636
 75.0        165   1.054e+00       9.918e-01         -1.973e-01   8.204e-02       -2.837e+00   3.996e+00            -0.001380  0.001945              -5.585
 90.0        153   9.133e-01       1.093e+00         -9.582e-02   7.384e-02       -1.378e+00   3.464e+00            -0.000671  0.001685              -5.740
105.0        196   1.156e+00       1.186e+00         -3.484e-03   8.260e-02       -5.010e-02   4.385e+00            -0.000024  0.002134              -5.484
120.0        200   1.121e+00       1.128e+00         -6.140e-02   7.927e-02       -8.830e-01   4.251e+00            -0.000430  0.002069              -5.518
135.0        183   1.258e+00       1.064e+00         -1.249e-01   9.302e-02       -1.796e+00   4.772e+00            -0.000874  0.002322              -5.393
150.0        201   1.183e+00       1.193e+00          3.484e-03   8.344e-02        5.010e-02   4.486e+00             0.000024  0.002183              -5.460
165.0        188   1.089e+00       1.032e+00         -1.572e-01   7.945e-02       -2.261e+00   4.131e+00            -0.001100  0.002010              -5.549
180.0        175   1.104e+00       1.291e+00          1.024e-01   8.342e-02        1.472e+00   4.185e+00             0.000716  0.002036              -5.535
195.0        178   1.006e+00       1.090e+00         -9.944e-02   7.543e-02       -1.430e+00   3.816e+00            -0.000696  0.001857              -5.635
210.0        175   9.653e-01       9.875e-01         -2.016e-01   7.297e-02       -2.899e+00   3.661e+00            -0.001410  0.001781              -5.680
225.0        220   1.025e+00       1.280e+00          9.106e-02   6.911e-02        1.310e+00   3.887e+00             0.000637  0.001892              -5.615
240.0        178   9.975e-01       1.128e+00         -6.140e-02   7.476e-02       -8.829e-01   3.783e+00            -0.000430  0.001841              -5.645
255.0        155   1.106e+00       1.343e+00          1.541e-01   8.881e-02        2.216e+00   4.193e+00             0.001078  0.002040              -5.533
270.0        180   9.544e-01       1.006e+00         -1.832e-01   7.114e-02       -2.634e+00   3.619e+00            -0.001282  0.001761              -5.693
285.0        204   1.156e+00       1.316e+00          1.269e-01   8.094e-02        1.826e+00   4.384e+00             0.000888  0.002133              -5.485
300.0        249   1.185e+00       1.391e+00          2.016e-01   7.507e-02        2.899e+00   4.492e+00             0.001411  0.002186              -5.458
315.0        211   1.283e+00       1.332e+00          1.431e-01   8.830e-02        2.058e+00   4.864e+00             0.001001  0.002367              -5.372
330.0        238   1.191e+00       1.561e+00          3.716e-01   7.721e-02        5.343e+00   4.517e+00             0.002600  0.002198              -5.452
345.0        200   1.148e+00       1.310e+00          1.213e-01   8.119e-02        1.744e+00   4.354e+00             0.000849  0.002119              -5.492
