AzAng  WedgeArea    SkyStDev  MedianFlux/Pix  NetMedianFlux/Pix         Err  FluxPerSqArcsec         Err  NormFluxPerSqArcsec       Err  3sigLimSBMagOffset
  0.0        208   1.148e+00       1.228e+00         -9.058e-03   7.957e-02       -1.303e-01   4.352e+00            -0.000051  0.001697              -5.733
 15.0        188   1.287e+00       1.076e+00         -1.616e-01   9.387e-02       -2.324e+00   4.881e+00            -0.000906  0.001903              -5.609
 30.0        197   9.947e-01       1.365e+00          1.279e-01   7.087e-02        1.839e+00   3.772e+00             0.000717  0.001471              -5.888
 45.0        237   1.209e+00       1.297e+00          5.932e-02   7.855e-02        8.530e-01   4.586e+00             0.000333  0.001788              -5.676
 60.0        177   1.085e+00       1.070e+00         -1.674e-01   8.154e-02       -2.407e+00   4.114e+00            -0.000939  0.001604              -5.794
 75.0        178   1.142e+00       1.393e+00          1.561e-01   8.562e-02        2.245e+00   4.332e+00             0.000875  0.001689              -5.738
 90.0        196   1.077e+00       1.290e+00          5.293e-02   7.692e-02        7.611e-01   4.084e+00             0.000297  0.001592              -5.802
105.0        171   1.070e+00       1.365e+00          1.273e-01   8.185e-02        1.830e+00   4.059e+00             0.000714  0.001583              -5.809
120.0        227   9.791e-01       1.312e+00          7.422e-02   6.498e-02        1.067e+00   3.713e+00             0.000416  0.001448              -5.905
135.0        214   1.249e+00       1.331e+00          9.380e-02   8.540e-02        1.349e+00   4.738e+00             0.000526  0.001847              -5.641
150.0        207   1.051e+00       1.168e+00         -6.947e-02   7.307e-02       -9.990e-01   3.987e+00            -0.000390  0.001555              -5.828
165.0        198   1.152e+00       1.198e+00         -3.960e-02   8.186e-02       -5.694e-01   4.368e+00            -0.000222  0.001703              -5.729
180.0        201   1.062e+00       1.068e+00         -1.695e-01   7.491e-02       -2.437e+00   4.028e+00            -0.000950  0.001570              -5.817
195.0        171   1.084e+00       1.246e+00          9.058e-03   8.286e-02        1.303e-01   4.109e+00             0.000051  0.001602              -5.795
210.0        184   8.792e-01       1.037e+00         -2.006e-01   6.482e-02       -2.885e+00   3.334e+00            -0.001125  0.001300              -6.022
225.0        166   9.473e-01       9.125e-01         -3.248e-01   7.353e-02       -4.671e+00   3.592e+00            -0.001822  0.001401              -5.941
240.0        222   1.098e+00       1.320e+00          8.305e-02   7.372e-02        1.194e+00   4.165e+00             0.000466  0.001624              -5.781
255.0        183   1.133e+00       1.310e+00          7.269e-02   8.373e-02        1.045e+00   4.295e+00             0.000408  0.001675              -5.747
270.0        189   1.115e+00       1.037e+00         -2.006e-01   8.109e-02       -2.884e+00   4.228e+00            -0.001125  0.001648              -5.765
285.0        205   1.009e+00       1.370e+00          1.329e-01   7.049e-02        1.911e+00   3.828e+00             0.000745  0.001492              -5.872
300.0        195   9.380e-01       9.655e-01         -2.719e-01   6.717e-02       -3.910e+00   3.557e+00            -0.001525  0.001387              -5.952
315.0        193   9.523e-01       1.096e+00         -1.413e-01   6.855e-02       -2.033e+00   3.611e+00            -0.000793  0.001408              -5.936
330.0        159   1.113e+00       1.248e+00          1.089e-02   8.827e-02        1.566e-01   4.221e+00             0.000061  0.001646              -5.766
345.0        163   9.933e-01       1.194e+00         -4.335e-02   7.780e-02       -6.234e-01   3.767e+00            -0.000243  0.001469              -5.890
