AzAng  WedgeArea    SkyStDev  MedianFlux/Pix  NetMedianFlux/Pix         Err  FluxPerSqArcsec         Err  NormFluxPerSqArcsec       Err  3sigLimSBMagOffset
  0.0        204   1.048e+00       1.289e+00          1.508e-01   7.335e-02        2.169e+00   3.973e+00             0.000862  0.001578              -5.812
 15.0        175   9.841e-01       1.114e+00         -2.429e-02   7.439e-02       -3.493e-01   3.732e+00            -0.000139  0.001482              -5.880
 30.0        207   1.146e+00       1.002e+00         -1.361e-01   7.966e-02       -1.957e+00   4.347e+00            -0.000777  0.001726              -5.714
 45.0        197   1.139e+00       1.192e+00          5.393e-02   8.114e-02        7.755e-01   4.319e+00             0.000308  0.001716              -5.721
 60.0        173   9.847e-01       1.052e+00         -8.666e-02   7.487e-02       -1.246e+00   3.734e+00            -0.000495  0.001483              -5.879
 75.0        166   8.070e-01       9.798e-01         -1.586e-01   6.263e-02       -2.281e+00   3.060e+00            -0.000906  0.001216              -6.095
 90.0        209   1.117e+00       1.140e+00          1.666e-03   7.730e-02        2.396e-02   4.238e+00             0.000010  0.001683              -5.742
105.0        210   1.085e+00       1.124e+00         -1.409e-02   7.487e-02       -2.026e-01   4.114e+00            -0.000080  0.001634              -5.774
120.0        201   1.089e+00       1.203e+00          6.440e-02   7.682e-02        9.261e-01   4.130e+00             0.000368  0.001641              -5.770
135.0        227   1.055e+00       1.450e+00          3.119e-01   7.005e-02        4.485e+00   4.002e+00             0.001782  0.001590              -5.804
150.0        193   1.005e+00       1.140e+00          1.613e-03   7.232e-02        2.319e-02   3.810e+00             0.000009  0.001513              -5.857
165.0        191   9.515e-01       1.000e+00         -1.382e-01   6.884e-02       -1.987e+00   3.608e+00            -0.000789  0.001433              -5.916
180.0        166   1.169e+00       1.229e+00          9.039e-02   9.076e-02        1.300e+00   4.435e+00             0.000516  0.001761              -5.693
195.0        183   9.574e-01       1.081e+00         -5.738e-02   7.077e-02       -8.251e-01   3.631e+00            -0.000328  0.001442              -5.910
210.0        214   1.061e+00       1.288e+00          1.497e-01   7.253e-02        2.152e+00   4.024e+00             0.000855  0.001598              -5.798
225.0        192   1.026e+00       1.137e+00         -1.613e-03   7.407e-02       -2.319e-02   3.892e+00            -0.000009  0.001546              -5.834
240.0        177   1.141e+00       1.313e+00          1.745e-01   8.579e-02        2.509e+00   4.328e+00             0.000997  0.001719              -5.719
255.0        197   1.027e+00       1.129e+00         -9.931e-03   7.319e-02       -1.428e-01   3.895e+00            -0.000057  0.001547              -5.833
270.0        193   9.991e-01       1.065e+00         -7.371e-02   7.192e-02       -1.060e+00   3.789e+00            -0.000421  0.001505              -5.863
285.0        169   9.386e-01       1.247e+00          1.090e-01   7.220e-02        1.567e+00   3.559e+00             0.000622  0.001414              -5.931
300.0        193   9.562e-01       1.179e+00          4.048e-02   6.883e-02        5.821e-01   3.626e+00             0.000231  0.001440              -5.911
315.0        221   1.080e+00       1.084e+00         -5.418e-02   7.264e-02       -7.792e-01   4.095e+00            -0.000309  0.001627              -5.779
330.0        217   1.042e+00       1.340e+00          2.014e-01   7.072e-02        2.896e+00   3.951e+00             0.001150  0.001569              -5.818
345.0        191   1.009e+00       1.080e+00         -5.893e-02   7.299e-02       -8.474e-01   3.825e+00            -0.000337  0.001520              -5.853
