"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
1000036,"    1P/Halley",1P,Halley,P,Y,,0,,,5.5,13.6,8.0,5.0,0.03,11.0,14.9x8.2,0.04,,,,,,,,,,"JPL 73",2439857.5,39857,1968-01-02.0,J2000,0.9679,17.93,0.575,162.19,59.11,112.26,274.14,35.28,0.01298,2446470.15,1986-02-08.6,2.77e+04,75.9,0.0753,29.3,0.782,-0.598,7.5e-09,9.9e-09,1.4e-07,1.5e-05,2.0e-05,2.0e-05,1.2e-07,1.9e-08,1.1e-11,1.3e-05,2.3e-05,HTC,"Davide Farnocchia",57852,1835-08-21,1994-01-11,8548,,,0,.61018,,4.8e-10,4.0e-11,1.6e-10,4.6e-15,,,,
1000025,"    2P/Encke",2P,Encke,P,Y,,0,,,15.4,,4.5,,,4.8,,0.046,11.083,,,,,,,,,"JPL K235/15",2457421.5,57421,2016-02-03.0,J2000,0.8484,2.215,0.336,11.78,334.57,186.55,240.09,4.09,0.299,2457822.56,2017-03-10.0,1.2e+03,3.3,0.173,67.4,0.921,3.02,4.4e-08,1.9e-08,9.7e-08,7.2e-06,3.2e-05,3.2e-05,3.1e-06,3.5e-08,3.8e-09,1.4e-05,1.5e-05,ETc,"Davide Farnocchia",4840,2009-08-15,2022-11-15,2915,,,0,.68737,,,,,,,,,
1000026,"    4P/Faye",4P,Faye,P,,,0,,,11.1,13.2,9.25,5.,0.03,3.54,,,,,,,,,,,,"JPL K212/28",2458518.5,58518,2019-02-04.0,J2000,0.5846,3.797,1.577,8.16,194.83,205.98,234.18,6.02,0.1332,2459463.15,2021-09-05.6,2.7e+03,7.4,0.589,229,0.0664,2.74,1.1e-07,2.1e-07,4.5e-07,5.6e-06,5.9e-05,7.1e-05,1.5e-05,3.3e-07,1.1e-08,4.6e-05,2.2e-04,JFc,"Davide Farnocchia",3289,2013-05-23,2022-05-25,3554,,,0,.55331,,5.0e-09,1.2e-10,1.4e-09,6.6e-11,-9.4e-10,4.5e-11,,
1000017,"    6P/d'Arrest",6P,d'Arrest,P,,,0,,,15.9,,8.5,,,3.2,,,,,,,,,,,,"JPL K212/13",2459302.5,59302,2021-03-29.0,J2000,0.6127,3.497,1.355,19.51,138.94,178.11,333.96,5.64,0.1507,2459475.29,2021-09-17.7,2.39e+03,6.54,0.343,133,0.208,2.71,1.4e-07,6.2e-07,7.1e-07,9.0e-06,3.0e-05,7.4e-05,1.5e-05,1.0e-06,4.0e-08,7.0e-05,6.4e-04,JFc,"Davide Farnocchia",2913,2014-03-10,2022-03-01,1093,,,1,.63861,,1.8e-10,2.7e-10,-8.5e-10,1.2e-10,,,,
1000069,"    7P/Pons-Winnecke",7P,Pons-Winnecke,P,Y,,0,,,16.0,,4.5,,,5.2,,,,,,,,,,,,"JPL 30",2457137.5,57137,2015-04-25.0,J2000,0.6376,3.419,1.239,22.33,93.42,172.51,13.17,5.60,0.1559,2457053.03,2015-01-30.5,2.31e+03,6.32,0.226,87.8,0.273,2.68,2.9e-08,3.0e-08,1.0e-07,7.1e-06,1.4e-05,1.8e-05,2.8e-06,5.0e-08,2.1e-09,1.9e-05,3.1e-05,JFc,"Davide Farnocchia",37122,1921-04-28,2022-12-16,1679,,,0,.66978,,6.4e-11,3.6e-13,-5.2e-12,5.0e-13,-1.0e-10,2.8e-12,150,5.52
1000099,"    8P/Tuttle",8P,Tuttle,P,Y,,0,,,14.6,,4.5,,,4.5,,,,,,,,,,,1.00,"JPL K215/24",2454701.5,54701,2008-08-23.0,J2000,0.8198,5.7,1.027,54.98,270.34,207.51,15.13,10.37,0.07242,2454492.52,2008-01-27.0,4.97e+03,13.6,0.0953,37.1,0.738,1.6,4.1e-08,5.2e-07,2.7e-07,1.2e-05,3.1e-05,2.9e-05,7.8e-07,9.4e-07,9.9e-09,2.8e-05,6.8e-04,JFC,"Davide Farnocchia",20161,1967-01-07,2022-03-20,1768,,,0,.6884,,4.2e-10,4.3e-11,-1.7e-11,1.5e-11,-4.6e-11,6.6e-11,67.5,12.8
1000093,"    9P/Tempel 1",9P,Tempel,P,,,0,,,12.8,,9.25,,,6.0,7.6x4.9,0.05,40.7,,,,,,,,0.20,"JPL K223/33",2457392.5,57392,2016-01-05.0,J2000,0.5098,3.147,1.542,10.47,68.76,179.19,322.82,4.75,0.1766,2457603.06,2016-08-02.5,2.04e+03,5.58,0.528,205,0.295,2.97,5.2e-08,6.7e-08,1.9e-07,4.2e-06,3.8e-05,3.9e-05,6.0e-06,1.0e-07,5.6e-09,3.5e-05,6.5e-05,JFc,"Davide Farnocchia",5183,2008-10-25,2023-01-03,3196,,,0,.49049,,3.0e-11,2.6e-11,1.2e-11,1.2e-12,,,,
1000094,"   10P/Tempel 2",10P,Tempel,P,,,0,,,14.3,,5.25,,,10.6,,0.022,8.93,,,,,,,,,"JPL K214/42",2456347.5,56347,2013-02-24.0,J2000,0.5363,3.065,1.421,12.03,117.80,195.55,177.37,4.71,0.1837,2455381.90,2010-07-04.4,1.96e+03,5.37,0.412,160,0.623,2.96,3.8e-08,4.2e-08,1.3e-07,3.2e-06,2.0e-05,2.1e-05,4.6e-06,6.5e-08,3.8e-09,2.2e-05,4.1e-05,JFc,"Davide Farnocchia",7281,2003-03-07,2023-02-11,4398,,,0,.62845,,2.2e-10,1.7e-11,5.3e-12,5.7e-13,6.7e-11,1.8e-11,,
1000110,"   14P/Wolf",14P,Wolf,P,,,0,,,15.7,,4.5,,,4.66,,,9.02,,,,,,,,,"JPL K174/9",2455880.5,55880,2011-11-15.0,J2000,0.3575,4.247,2.729,27.94,202.11,159.20,111.53,5.76,0.1126,2454890.11,2009-02-27.6,3.2e+03,8.75,1.74,678,0.0426,2.72,1.4e-07,1.5e-07,5.7e-07,1.7e-05,3.7e-05,3.3e-05,1.4e-05,2.0e-07,5.8e-09,1.6e-04,1.7e-04,JFc,"Javier Roa",10439,1992-07-27,2021-02-24,361,,,0,.45551,,,,,,,,,
1000044,"   17P/Holmes",17P,Holmes,P,,,0,,,9.4,13.8,14.75,5.,0.03,3.42,,,,,,,,,,,,"JPL K212/32",2457680.5,57680,2016-10-19.0,J2000,0.4302,3.626,2.066,19.07,326.77,24.74,133.79,5.19,0.1427,2456743.22,2014-03-26.7,2.52e+03,6.91,1.07,418,0.481,2.86,1.1e-07,1.4e-07,4.5e-07,6.7e-06,4.5e-05,5.9e-05,2.2e-05,2.1e-07,8.5e-09,1.7e-04,1.5e-04,JFc,"Davide Farnocchia",4401,2011-01-04,2023-01-22,2208,,,0,.61363,,2.9e-09,2.2e-10,9.8e-10,9.2e-11,,,,
1000005,"   19P/Borrelly",19P,Borrelly,P,,,0,,,9.7,13.2,15.5,5.,0.03,4.8,,0.022,,,,,,,,,,"JPL K222/7",2459258.5,59258,2021-02-13.0,J2000,0.6379,3.607,1.306,29.32,74.31,351.86,309.10,5.91,0.1439,2459612.25,2022-02-01.7,2.5e+03,6.85,0.323,126,0.443,2.56,8.8e-08,4.1e-07,4.2e-07,9.9e-06,1.9e-05,4.1e-05,1.5e-05,6.7e-07,2.4e-08,5.5e-05,4.2e-04,JFc,"Davide Farnocchia",3098,2014-07-29,2023-01-21,2397,,,1,.6267,,3.6e-09,1.3e-10,-1.1e-10,9.6e-11,,,,
1000032,"   21P/Giacobini-Zinner",21P,Giacobini-Zinner,P,Y,,0,,,13.1,,8.5,,,2.0,,,,,,,,,,,,"JPL K182/14",2458063.5,58063,2017-11-06.0,J2000,0.7105,3.5,1.013,32.00,195.41,172.81,313.61,5.99,0.1505,2458371.77,2018-09-10.2,2.39e+03,6.55,0.0179,6.96,0.248,2.46,1.1e-07,1.5e-07,3.8e-07,7.8e-06,2.4e-05,3.9e-05,5.0e-06,2.6e-07,9.6e-09,3.2e-05,1.5e-04,JFc,"Shantanu Naidu",3196,2011-05-01,2020-01-30,1987,,,0,.50573,,3.1e-09,7.2e-11,-1.8e-09,4.4e-11,-1.8e-09,4.2e-11,,
1000054,"   22P/Kopff",22P,Kopff,P,,,0,,,12.0,,9.5,,,3.0,,0.05,,,,,,,,,0.40,"JPL K222/33",2458523.5,58523,2019-02-09.0,J2000,0.5486,3.444,1.555,4.74,120.84,162.91,185.33,5.33,0.1542,2459656.39,2022-03-17.8,2.33e+03,6.39,0.538,209,0.0796,2.87,8.3e-08,8.8e-08,2.5e-07,5.7e-06,1.5e-04,1.5e-04,1.1e-05,1.4e-07,5.9e-09,9.6e-05,9.0e-05,JFc,"Davide Farnocchia",3656,2013-01-17,2023-01-21,2668,,,0,.67538,,,,-4.3e-10,3.1e-11,,,,
1000077,"   24P/Schaumasse",24P,Schaumasse,P,Y,,0,,,12.0,15.6,16.,5.,0.03,2.6,,,,,,,,,,,,"JPL K173/9",2457350.5,57350,2015-11-24.0,J2000,0.7048,4.086,1.206,11.73,79.67,58.00,273.65,6.97,0.1193,2458074.26,2017-11-16.7,3.02e+03,8.26,0.283,110,0.457,2.5,1.3e-06,1.7e-05,6.3e-07,1.7e-05,7.5e-05,1.5e-04,5.2e-04,2.9e-05,7.5e-07,1.6e-04,1.9e-02,JFc,"Shantanu Naidu",6464,2000-10-07,2018-06-19,832,,,3,.6705,,1.1e-09,8.8e-11,-1.0e-09,1.6e-10,,,,
1000034,"   26P/Grigg-Skjellerup",26P,Grigg-Skjellerup,P,Y,,0,,,16.8,,5.,,,2.6,,,,,,,,,,,,"JPL K234/7",2455440.5,55440,2010-09-01.0,J2000,0.6339,3.038,1.112,22.41,211.64,1.64,165.88,4.96,0.1861,2454549.21,2008-03-23.7,1.93e+03,5.3,0.107,41.8,0.00215,2.81,5.9e-08,4.6e-08,1.8e-07,1.1e-05,3.3e-05,3.6e-05,5.8e-06,7.6e-08,4.3e-09,3.2e-05,4.4e-05,JFc,"Davide Farnocchia",5475,2007-12-19,2022-12-15,430,,,0,.66993,,,,,,,,,
1000063,"   28P/Neujmin 1",28P,Neujmin,P,,,0,,,13.2,,4.5,,,21.4,,0.025,,,,,,,,,,"JPL 72",2460047.5,60047,2023-04-13.0,J2000,0.7736,6.982,1.581,14.31,346.34,347.47,40.72,12.38,0.05343,2459285.26,2021-03-11.7,6.74e+03,18.4,0.574,223,0.96,2.17,2.2e-08,3.4e-08,1.5e-07,2.5e-06,4.1e-05,3.7e-05,5.1e-06,6.0e-08,3.9e-10,9.4e-05,4.9e-05,JFc,"Davide Farnocchia",39970,1913-09-08,2023-02-13,1161,,,0,.31314,,,,,,,,,
1000079,"   29P/Schwassmann-Wachmann 1",29P,Schwassmann-Wachmann,P,,,0,,,10.1,,4.5,,,60.4,,0.033,,,,,,,,,7.40,"JPL K192/80",2459945.5,59945,2023-01-01.0,J2000,0.0448,6.047,5.777,9.36,312.39,50.91,89.62,6.32,0.06628,2458593.29,2019-04-19.7,5.43e+03,14.9,4.78,1.86e+03,0.792,2.99,2.8e-08,1.3e-07,8.9e-08,1.9e-06,1.1e-05,3.3e-05,2.9e-05,1.3e-07,2.1e-09,4.5e-04,1.7e-04,JFc,"Shantanu Naidu",5053,2009-02-17,2022-12-19,624,,,0,.5309,,,,,,,,,
1000070,"   30P/Reinmuth 1",30P,Reinmuth,P,,,0,,,13.6,,6.75,,,7.8,,,,,,,,,,,,"JPL K243/3",2456229.5,56229,2012-10-29.0,J2000,0.5017,3.774,1.881,8.13,119.73,13.15,124.10,5.67,0.1344,2455306.34,2010-04-19.8,2.68e+03,7.33,0.897,349,0.159,2.84,1.7e-07,2.1e-07,6.9e-07,9.2e-06,6.4e-05,8.7e-05,2.6e-05,3.2e-07,1.1e-08,1.5e-04,2.2e-04,JFc,"Davide Farnocchia",4786,2009-08-20,2022-09-27,1874,,,0,.60421,,-4.6e-09,3.0e-10,2.2e-10,4.3e-11,,,,
1000080,"   31P/Schwassmann-Wachmann 2",31P,Schwassmann-Wachmann,P,,,0,,,7.2,14.0,17.5,5.,0.03,6.2,,,,,,,,,,,,"JPL K193/22",2455554.5,55554,2010-12-24.0,J2000,0.1930,4.243,3.424,4.55,114.19,17.93,9.65,5.06,0.1128,2455468.96,2010-09-29.4,3.19e+03,8.74,2.44,949,0.0552,2.99,9.0e-08,5.6e-08,3.8e-07,1.0e-05,1.1e-04,1.3e-04,4.8e-05,6.6e-08,2.2e-09,4.3e-04,6.3e-05,JFc,"Shantanu Naidu",7492,2000-11-24,2021-05-30,1019,,,0,.75507,,,,-5.3e-08,1.5e-09,,,,
1000015,"   32P/Comas Sola",32P,"Comas Sola",P,,,0,,,11.1,13.4,8.75,5.,0.03,8.4,,,,,,,,,,,,"JPL K142/2",2455348.5,55348,2010-06-01.0,J2000,0.5546,4.51,2.009,9.97,57.84,53.31,195.18,7.01,0.1029,2456950.22,2014-10-19.7,3.5e+03,9.58,1.04,406,0.246,2.68,1.4e-07,2.2e-07,7.2e-07,1.7e-05,3.7e-05,4.0e-05,1.0e-05,3.5e-07,7.7e-09,1.9e-04,2.6e-04,JFc,"Davide Farnocchia",4341,2004-07-20,2016-06-08,3121,,,0,.64129,,-8.3e-09,3.7e-10,8.6e-10,2.1e-10,-9.0e-10,1.7e-10,-181,8.49
1000018,"   33P/Daniel",33P,Daniel,P,,,0,,,15.2,,4.5,,,2.6,,,,,,,,,,,,"JPL K163/7",2455481.5,55481,2010-10-12.0,J2000,0.4624,4.03,2.167,22.39,66.54,18.91,99.12,5.89,0.1218,2454667.91,2008-07-20.4,2.96e+03,8.09,1.19,464,0.152,2.73,1.3e-06,3.2e-07,5.3e-06,1.4e-05,1.2e-04,3.6e-04,9.8e-05,4.7e-07,1.5e-08,8.2e-04,3.5e-04,JFc,"Javier Roa",6347,1999-11-13,2017-03-30,403,,,1,.88372,,3.4e-09,1.3e-09,4.7e-10,1.4e-11,,,,
1000105,"   36P/Whipple",36P,Whipple,P,,,0,,,10.5,14.4,13.25,5.,0.03,4.56,,,,,,,,,,,,"JPL 23",2454696.5,54696,2008-08-18.0,J2000,0.2582,4.165,3.089,9.94,182.39,201.95,217.19,5.24,0.116,2455927.96,2012-01-01.4,3.1e+03,8.5,2.1,815,0.26,2.95,8.3e-08,4.0e-08,3.4e-07,1.0e-05,5.0e-05,5.7e-05,1.9e-05,5.0e-08,1.7e-09,1.5e-04,4.4e-05,JFc,"Davide Farnocchia",26894,1948-07-18,2022-03-06,937,,,0,.63989,,5.3e-09,9.6e-10,-5.4e-10,3.3e-11,,,,
1000028,"   37P/Forbes",37P,Forbes,P,,,0,,,11.5,15.4,16.25,5.,0.03,1.92,,,,,,,,,,,,"JPL K182/10",2457840.5,57840,2017-03-28.0,J2000,0.5345,3.456,1.609,8.96,314.64,330.00,298.31,5.30,0.1534,2458242.65,2018-05-04.1,2.35e+03,6.42,0.599,233,0.226,2.87,2.6e-07,4.8e-07,9.4e-07,1.2e-05,5.4e-05,1.0e-04,3.1e-05,7.4e-07,3.2e-08,1.3e-04,4.9e-04,JFc,"Shantanu Naidu",2866,2011-02-08,2018-12-14,1199,,,1,.57623,,7.7e-09,2.3e-10,2.0e-10,9.3e-11,,,,
1000101,"   40P/Vaisala 1",40P,Vaisala,P,,,0,,,11.7,14.8,13.,5.,0.03,4.2,,,,,,,,,,,,"JPL K148/7",2457262.5,57262,2015-08-28.0,J2000,0.6316,4.94,1.820,11.49,133.84,47.29,25.60,8.06,0.08977,2456977.34,2014-11-15.8,4.01e+03,11,0.848,330,0.0865,2.53,8.4e-08,5.2e-08,4.1e-07,5.6e-06,5.2e-05,5.4e-05,5.6e-06,8.4e-08,1.4e-09,5.9e-05,6.3e-05,JFc,"Ryan S. Park",27930,1939-01-18,2015-07-08,1128,,,0,.84439,,,,-1.1e-10,2.5e-13,,,,
1000100,"   41P/Tuttle-Giacobini-Kresak",41P,Tuttle-Giacobini-Kresak,P,Y,,0,,,15.3,,17.,,,1.4,,,,,,,,,,,,"JPL K171/18",2457844.5,57844,2017-04-01.0,J2000,0.6613,3.085,1.045,9.23,141.07,62.16,357.86,5.12,0.1819,2457856.25,2017-04-12.7,1.98e+03,5.42,0.134,52,0.488,2.83,3.7e-07,3.4e-06,3.3e-08,2.7e-06,1.4e-05,1.9e-05,3.3e-06,5.6e-06,3.0e-07,7.9e-06,3.3e-03,JFc,"Davide Farnocchia",262,2016-11-10,2017-07-30,4259,2,7,2,.41437,,1.7e-08,2.2e-10,4.3e-09,2.2e-10,1.5e-09,1.2e-10,11.4,0.594
1000065,"   42P/Neujmin 3",42P,Neujmin,P,,,0,,,13.2,16.4,15.,5.,0.03,2.2,,,,,,,,,,,,"JPL K155/2",2457380.5,57380,2015-12-24.0,J2000,0.5842,4.876,2.028,3.98,150.28,147.12,23.78,7.73,0.09153,2457120.71,2015-04-08.2,3.93e+03,10.8,1.01,395,0.025,2.63,6.6e-07,5.4e-07,3.3e-06,2.1e-05,1.6e-04,2.8e-04,6.7e-05,8.5e-07,1.5e-08,7.2e-04,6.5e-04,JFc,"Ryan S. Park",15880,1972-04-17,2015-10-09,297,,,0,.73554,,1.3e-08,4.1e-10,-1.0e-09,1.7e-10,,,77.1,7.75
